"","X","elpd_loo"
"1",0,-0.18696865672193
"2",1,-0.0245826392867627
"3",2,-0.0176466006534053
"4",3,-0.177606855756794
"5",4,-0.364277618980333
"6",5,-0.00927672895133291
"7",6,-0.0414370088815215
"8",7,-0.259537755612369
"9",8,-0.381207233163746
"10",9,-0.427161672232959
"11",10,-0.61575192045048
"12",11,-0.175546601400178
"13",12,-0.468568830645252
"14",13,-0.198678761277874
"15",14,-0.00628014778572528
"16",15,-0.0195336261153773
"17",16,-0.0321675053733887
"18",17,-0.0748781867442823
"19",18,-0.36139416310864
"20",19,-0.069326183410384
"21",20,-0.134863002266282
"22",21,-0.212373121652426
"23",22,-1.90258984674556
"24",23,-0.0263602118411264
"25",24,-0.467090171000578
"26",25,-0.0453512072148232
"27",26,-0.0199734646677427
"28",27,-0.0324996848403138
"29",28,-0.057627414355176
"30",29,-0.270140474887658
"31",30,-0.0824208878312476
"32",31,-0.774758414071741
"33",32,-1.35536970149477
"34",33,-0.244162447331274
"35",34,-0.251542922664143
"36",35,-0.0830302172847013
"37",36,-0.0942356518457252
"38",37,-0.081178441795263
"39",38,-0.0835138116764416
"40",39,-1.21882705890653
"41",40,-0.0186915920897501
"42",41,-0.0216348995462301
"43",42,-5.60396568365686
"44",43,-0.0256799464156501
"45",44,-0.0341660590835442
"46",45,-0.268916519487858
"47",46,-0.0652539673217056
"48",47,-0.0663859844366463
"49",48,-0.244731734712852
"50",49,-0.10052703614174
"51",50,-0.0554651173721865
"52",51,-0.676876961918524
"53",52,-0.0548659027852896
"54",53,-0.0463577571292291
"55",54,-0.684838068310599
"56",55,-0.0399214353042598
"57",56,-0.00608790480407606
"58",57,-0.150020114112239
"59",58,-0.160882461054635
"60",59,-0.49640542457092
"61",60,-2.86260900601022
"62",61,-0.0926499032514148
"63",62,-1.27626302246446
"64",63,-0.383757849589065
"65",64,-0.538022051795352
"66",65,-0.0177061012028492
"67",66,-1.57092688614119
"68",67,-0.196500394750789
"69",68,-0.529508356197393
"70",69,-0.733924435748362
"71",70,-0.00916884087890324
"72",71,-0.0279437934212652
"73",72,-0.586677885624065
"74",73,-0.560847822119163
"75",74,-0.141788459983575
"76",75,-2.20371730803448
"77",76,-0.0244243886718944
"78",77,-0.231900387165641
"79",78,-0.410442433928576
"80",79,-0.0913695985471659
"81",80,-0.0956901286821896
"82",81,-0.393648162676332
"83",82,-0.10840929015265
"84",83,-0.00206136907603671
"85",84,-0.220670681935717
"86",85,-0.0427005183941631
"87",86,-0.0408492756530876
"88",87,-0.0216301377659374
"89",88,-0.109685111704822
"90",89,-0.211177447628042
"91",90,-0.00402633428658206
"92",91,-0.153472038566321
"93",92,-0.0401121344340947
"94",93,-0.111618783037104
"95",94,-0.263014122313505
"96",95,-2.22325145990262
"97",96,-0.0829727916204881
"98",97,-1.06419959334493
"99",98,-0.0763844299347589
"100",99,-0.0716197572076869
"101",100,-0.425419049125598
"102",101,-0.0173307322186336
"103",102,-0.126544842108316
"104",103,-0.189913905032565
"105",104,-0.293899551047954
"106",105,-0.111851669192731
"107",106,-1.42186115988896
"108",107,-0.124974526689153
"109",108,-0.377258204056105
"110",109,-0.14879234403895
"111",110,-0.0164281268193331
"112",111,-0.0220328918757104
"113",112,-0.672952223082845
"114",113,-0.194054885381972
"115",114,-0.139289083007668
"116",115,-0.817625900719472
"117",116,-0.703157678481379
"118",117,-0.107263643500238
"119",118,-0.446328969435212
"120",119,-0.124498229554526
"121",120,-0.0400598554507319
"122",121,-0.130897547944354
"123",122,-0.0121796284573783
"124",123,-0.356341734895079
"125",124,-0.496989083904376
"126",125,-0.110105533394009
